Pyradiomics Name,RO URI
firstorder_10Percentile,www.radiomics.org/RO/GPMT
firstorder_90Percentile,www.radiomics.org/RO/OZ0C
firstorder_Energy,www.radiomics.org/RO/8ZQL
firstorder_Entropy,www.radiomics.org/RO/TLU2
firstorder_InterquartileRange,www.radiomics.org/RO/WR0O
firstorder_Kurtosis,www.radiomics.org/RO/C3I7
firstorder_Maximum,www.radiomics.org/RO/3NCY
firstorder_Mean,www.radiomics.org/RO/X6K6
firstorder_MeanAbsoluteDeviation,www.radiomics.org/RO/D2ZX
firstorder_Median,www.radiomics.org/RO/WIFQ
firstorder_Minimum,www.radiomics.org/RO/1PR8
firstorder_Range,www.radiomics.org/RO/5Z3W
firstorder_RobustMeanAbsoluteDeviation,www.radiomics.org/RO/WRZB
firstorder_RootMeanSquared,www.radiomics.org/RO/5ZWQ
firstorder_Skewness,www.radiomics.org/RO/88K1
firstorder_TotalEnergy,www.radiomics.org/RO/2490
firstorder_Uniformity,www.radiomics.org/RO/BJ5W
firstorder_Variance,www.radiomics.org/RO/CH89
glcm_Autocorrelation,www.radiomics.org/RO/QWB0
glcm_ClusterProminence,www.radiomics.org/RO/AE86
glcm_ClusterShade,www.radiomics.org/RO/7NFM
glcm_ClusterTendency,www.radiomics.org/RO/DG8W
glcm_Contrast,www.radiomics.org/RO/ACUI
glcm_Correlation,www.radiomics.org/RO/NI2N
glcm_DifferenceAverage,www.radiomics.org/RO/TF7R
glcm_DifferenceEntropy,www.radiomics.org/RO/NTRS
glcm_DifferenceVariance,www.radiomics.org/RO/D3YU
glcm_Id,www.radiomics.org/RO/IB1Z
glcm_Idm,www.radiomics.org/RO/WF0Z
glcm_Idmn,www.radiomics.org/RO/1QCO
glcm_Idn,www.radiomics.org/RO/NDRX
glcm_Imc1,www.radiomics.org/RO/R8DG
glcm_Imc2,www.radiomics.org/RO/JN9H
glcm_InverseVariance,www.radiomics.org/RO/E8JP
glcm_JointAverage,www.radiomics.org/RO/60VM
glcm_JointEnergy,www.radiomics.org/RO/8ZQL
glcm_JointEntropy,www.radiomics.org/RO/TU9B
glcm_MaximumProbability,www.radiomics.org/RO/GYBY
glcm_SumAverage,www.radiomics.org/RO/ZGXS
glcm_SumEntropy,www.radiomics.org/RO/P6QZ
glcm_SumSquares,www.radiomics.org/RO/OEEB
gldm_DependenceEntropy,www.radiomics.org/RO/GBDU
gldm_DependenceNonUniformity,www.radiomics.org/RO/V294
gldm_DependenceNonUniformityNormalized,www.radiomics.org/RO/IATH
gldm_DependenceVariance,www.radiomics.org/RO/7WT1
gldm_GrayLevelNonUniformity,www.radiomics.org/RO/VFT7
gldm_GrayLevelVariance,www.radiomics.org/RO/QK93
gldm_HighGrayLevelEmphasis,www.radiomics.org/RO/K26C
gldm_LargeDependenceEmphasis,www.radiomics.org/RO/MB4I
gldm_LargeDependenceHighGrayLevelEmphasis,www.radiomics.org/RO/KLTH
gldm_LargeDependenceLowGrayLevelEmphasis,www.radiomics.org/RO/A7WM
gldm_LowGrayLevelEmphasis,www.radiomics.org/RO/S1RA
gldm_SmallDependenceEmphasis,www.radiomics.org/RO/0GBI
gldm_SmallDependenceHighGrayLevelEmphasis,www.radiomics.org/RO/DKNJ
gldm_SmallDependenceLowGrayLevelEmphasis,www.radiomics.org/RO/RUVG
glrlm_GrayLevelNonUniformity,www.radiomics.org/RO/R5YN
glrlm_GrayLevelNonUniformityNormalized,www.radiomics.org/RO/OVBL
glrlm_GrayLevelVariance,www.radiomics.org/RO/8CE5
glrlm_HighGrayLevelRunEmphasis,www.radiomics.org/RO/G3QZ
glrlm_LongRunEmphasis,www.radiomics.org/RO/W4KF
glrlm_LongRunHighGrayLevelEmphasis,www.radiomics.org/RO/3KUM
glrlm_LongRunLowGrayLevelEmphasis,www.radiomics.org/RO/IVPO
glrlm_LowGrayLevelRunEmphasis,www.radiomics.org/RO/V3SW
glrlm_RunEntropy,www.radiomics.org/RO/HJ9O
glrlm_RunLengthNonUniformity,www.radiomics.org/RO/W92Y
glrlm_RunLengthNonUniformityNormalized,www.radiomics.org/RO/IC23
glrlm_RunPercentage,www.radiomics.org/RO/9ZK5
glrlm_RunVariance,www.radiomics.org/RO/SXLW
glrlm_ShortRunEmphasis,www.radiomics.org/RO/22OV
glrlm_ShortRunHighGrayLevelEmphasis,www.radiomics.org/RO/GD3A
glrlm_ShortRunLowGrayLevelEmphasis,www.radiomics.org/RO/HTZT
glszm_GrayLevelNonUniformity,www.radiomics.org/RO/JNSA
glszm_GrayLevelNonUniformityNormalized,www.radiomics.org/RO/Y1RO
glszm_GrayLevelVariance,www.radiomics.org/RO/BYLV
glszm_HighGrayLevelZoneEmphasis,www.radiomics.org/RO/5GN9
glszm_LargeAreaEmphasis,www.radiomics.org/RO/48P8
glszm_LargeAreaHighGrayLevelEmphasis,www.radiomics.org/RO/J17V
glszm_LargeAreaLowGrayLevelEmphasis,www.radiomics.org/RO/YH51
glszm_LowGrayLevelZoneEmphasis,www.radiomics.org/RO/XMSY
glszm_SizeZoneNonUniformity,www.radiomics.org/RO/4JP3
glszm_SizeZoneNonUniformityNormalized,www.radiomics.org/RO/VB3A
glszm_SmallAreaEmphasis,www.radiomics.org/RO/5QRC
glszm_SmallAreaHighGrayLevelEmphasis,www.radiomics.org/RO/HW1V
glszm_SmallAreaLowGrayLevelEmphasis,www.radiomics.org/RO/5RAI
glszm_ZoneEntropy,www.radiomics.org/RO/GU8N
glszm_ZonePercentage,www.radiomics.org/RO/P30P
glszm_ZoneVariance,www.radiomics.org/RO/3NSA
ngtdm_Busyness,www.radiomics.org/RO/NQ30
ngtdm_Coarseness,www.radiomics.org/RO/QCDE
ngtdm_Complexity,www.radiomics.org/RO/HDEZ
ngtdm_Contrast,www.radiomics.org/RO/65HE
ngtdm_Strength,www.radiomics.org/RO/1X9X
shape_Maximum3DDiameter,www.radiomics.org/RO/L0JK
shape_MeshVolume,www.radiomics.org/RO/RNU0
shape_MajorAxisLength,www.radiomics.org/RO/TDIC
shape_Sphericity,www.radiomics.org/RO/QCFX
shape_LeastAxisLength,www.radiomics.org/RO/7J51
shape_Elongation,www.radiomics.org/RO/Q3CK
shape_SurfaceVolumeRatio,www.radiomics.org/RO/2PR5
shape_Maximum2DDiameterSlice,www.radiomics.org/RO/2130
shape_Flatness,www.radiomics.org/RO/N17B
shape_SurfaceArea,www.radiomics.org/RO/C0JK
shape_MinorAxisLength,www.radiomics.org/RO/P9VJ
shape_Maximum2DDiameterColumn,www.radiomics.org/RO/2150
shape_Maximum2DDiameterRow,www.radiomics.org/RO/2140
shape_VoxelVolume,www.radiomics.org/RO/RNU0
glcm_MCC,www.radiomics.org/RO/xxx
